filecode,inputLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,TotalQ,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Multi,Codes,1675,Account
09S,107,O,ABT 18FEB12 55.0 C,ABT,2012-02-18,55,C,2012-01-24 15:03:55,-7,2012-01-24 10:53:24,CBOE,1,1.304245,19,-0.104285714,130.42,1.85,100,P;ML;C;ST,C,IB9048
09S,108,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,,CBOE2,-4,0.48,192,-1.42,-183.2,7.38,100,P;ML;C,CS,IB9048
09S,109,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,2012-01-24 10:53:24,CBOE2,1,0.460245,27.42857143,-0.202857143,46.02,1.62,100,P;ML;C;ST,C,IB9048
09S,110,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,2012-01-24 10:53:25,CBOE2,3,0.457245,11.75510204,-0.086938776,137.17,5.76,100,P;ML;C;ST;ST,C,IB9048
09S,111,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,,PHLX,-1,0.48,48,-0.73,-45.72,1.55,100,P;ML;C,CS,IB9048
09S,112,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,2012-01-24 10:53:25,PHLX,1,0.457245,6.857142857,-0.104285714,45.72,1.55,100,P;ML;C;ST,C,IB9048
09S,113,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,,CBOE,-1,0.48,48,-0.73,-45.72,1.55,100,P;ML;C,CS,IB9048
09S,114,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,2012-01-24 10:53:25,CBOE,1,0.457245,6.857142857,-0.104285714,45.72,1.55,100,P;ML;C;ST,C,IB9048
09S,115,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,,ISE,-1,0.47,47,-0.73,-45.42,0.85,100,P;ML;C,CS,IB9048
09S,116,O,ABT 18FEB12 55.0 P,ABT,2012-02-18,55,P,2012-01-24 15:03:55,-7,2012-01-24 10:53:24,ISE,1,0.454245,6.714285714,-0.104285714,45.42,0.85,100,P;ML;C;ST,C,IB9048
09S,117,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,-5,,CBOE,-5,14.1,7050,-3.76,-5674.62,1371.62,100,ML;C,CS,IB9048
09S,118,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,-5,2012-01-18 13:31:17,CBOE,1,11.360245,1410,-0.752,1136.02,273.22,100,ML;C;ST,C,IB9048
09S,119,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,-5,2012-01-18 13:31:27,CBOE,4,11.346495,1128,-0.6016,4538.6,1098.4,100,ML;C;ST;ST,C,IB9048
09S,120,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,-5,,CBOE,-5,9.2,4600,-3.71,-5858.62,-1262.33,100,ML;C,CS,IB9048
09S,121,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,-5,2012-01-18 13:31:17,CBOE,1,11.720245,920,-0.742,1172.02,-252.77,100,ML;C;ST,C,IB9048
09S,122,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,-5,2012-01-18 13:31:27,CBOE,4,11.716495,736,-0.5936,4686.6,-1009.57,100,ML;C;ST;ST,C,IB9048
09S,123,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,5,,NASDAQOM,4,7.3,-2920,-1.22,3812.95,891.74,100,P;ML;C,CS,IB9048
09S,124,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,5,2012-01-18 13:31:17,NASDAQOM,-1,9.529572,-584,-0.244,-952.96,222.65,100,P;ML;C;ST,C,IB9048
09S,125,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,5,2012-01-18 13:31:27,NASDAQOM,-3,9.533322,-350.4,-0.1464,-2860,669.08,100,P;ML;C;ST;ST,C,IB9048
09S,126,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:44,5,,NASDAQOM,1,7.3,-730,-0.3,953.33,223.03,100,P;ML;C,CS,IB9048
09S,127,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:44,5,2012-01-18 13:31:27,NASDAQOM,-1,9.533322,-146,-0.06,-953.33,223.03,100,P;ML;C;ST,C,IB9048
09S,128,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,5,,CBOE,5,11.75,-5875,-3.62,4752.29,-1126.34,100,ML;C,CS,IB9048
09S,129,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,5,2012-01-18 13:31:27,CBOE,-4,9.503322,-4700,-2.896,-3801.33,-901.57,100,ML;C;ST,C,IB9048
